db_taxon,db_life_stage,equation_id,preservation,preservation_percentage,correction_percentage,correction_factor_id,body_size_meas,body_size_unit,body_size_min,body_size_max,equation_form,log_base,a,b,dry_biomass_scale,dry_biomass_min,dry_biomass_max,dry_biomass_unit,RMS,n,r2,lm_correction,lm_correction_type,lm_reference,reference
Coloburiscus humeralis,nymph,1,none,NA,NA,NA,body_length,mm,8.7,15.5,model1,2.718282,-3.6445,2.47,1,4,22.7,mg,NA,53,0.76,,BC_correction,strimbu_2018,1
Deleatidium,nymph,2,none,NA,NA,NA,body_length,mm,3.9,10.4,model1,2.718282,-5.38,3.0555,1,0.3,2.7,mg,NA,53,0.91,,BC_correction,strimbu_2018,1
Nesameletus,nymph,3,none,NA,NA,NA,body_length,mm,8.1,15.3,model1,2.718282,-6.8917,3.5268,1,2.2,20.9,mg,NA,39,0.85,,BC_correction,strimbu_2018,1
Zephlebia,nymph,4,none,NA,NA,NA,body_length,mm,4.3,16.3,model1,2.718282,-4.3066,2.5252,1,0.3,10.3,mg,NA,23,0.9,,BC_correction,strimbu_2018,1
Stenoperla prasina,nymph,5,none,NA,NA,NA,body_length,mm,11.5,29.5,model1,2.718282,-6.835,3.2787,1,2.1,51.4,mg,NA,12,0.83,,BC_correction,strimbu_2018,1
Austroperla cyrene,nymph,6,none,NA,NA,NA,body_length,mm,6.1,15.8,model1,2.718282,-4.7875,2.5909,1,1,9.6,mg,NA,33,0.95,,BC_correction,strimbu_2018,1
Olinga feredayi,larva,7,none,NA,NA,NA,body_length,mm,3.9,12.2,model1,2.718282,-6.5681,3.3417,1,0.1,5.9,mg,NA,41,0.96,,BC_correction,strimbu_2018,1
Aoteapsyche,larva,8,none,NA,NA,NA,body_length,mm,5.2,19.2,model1,2.718282,-6.0016,3.0349,1,0.3,20,mg,NA,26,0.88,,BC_correction,strimbu_2018,1
Hydrobiosidae,larva,9,none,NA,NA,NA,body_length,mm,4.5,25,model1,2.718282,-5.2103,2.2222,1,0.1,15.2,mg,NA,43,0.69,,BC_correction,strimbu_2018,1
Archichauliodes diversus,larva,10,none,NA,NA,NA,body_length,mm,6.5,35,model1,2.718282,-5.5204,2.6784,1,0.5,75.7,mg,NA,27,0.94,,BC_correction,strimbu_2018,1
Aphrophila neozelandica,larva,11,none,NA,NA,NA,body_length,mm,6.7,16.8,model1,2.718282,-4.2771,1.8086,1,0.5,2.5,mg,NA,18,0.92,,BC_correction,strimbu_2018,1
Chironomidae,larva,12,none,NA,NA,NA,body_length,mm,2.1,4.1,model1,2.718282,-3.8757,2.7206,1,0.08,0.85,mg,NA,23,0.93,,BC_correction,strimbu_2018,1
Austrosimulium,larva,13,none,NA,NA,NA,body_length,mm,2.1,4.7,model1,2.718282,-4.9029,2.4205,1,0.06,0.35,mg,NA,21,0.9,,BC_correction,strimbu_2018,1
Elmidae,larva,14,none,NA,NA,NA,body_length,mm,2.9,6.9,model1,2.718282,-6.0784,3.092,1,1.4,10.4,mg,NA,32,0.83,,BC_correction,strimbu_2018,1
Potamopyrgus antipodarum,none,15,none,NA,NA,NA,shell_height,mm,1.7,5.2,model1,2.718282,-2.0961,2.4506,1,0.4,7.9,mg,NA,35,0.93,,BC_correction,strimbu_2018,1
Bosmina longispina,adult,16,formaldehyde,4,35.9,38_39,body_length,mm,0.29,0.565,model1,2.718282,-3.287,3.09,1,NA,NA,mg,0.1071,9,0.84,NA,RMS_correction,bird_prairie_1985,2
Bosmina longispina,adult,17,formaldehyde,4,35.9,38_39,body_length,mm,0.27,0.775,model1,2.718282,-3.8769,2.73,1,NA,NA,mg,0.0624,15,0.94,NA,RMS_correction,bird_prairie_1985,2
Limnosida flontosa,adult,18,formaldehyde,4,35.9,38_39,body_length,mm,0.63,1.75,model1,2.718282,-4.6624,2.69,1,NA,NA,mg,0.1996,40,0.63,NA,RMS_correction,bird_prairie_1985,2
Eurytemora lacustris,adult,19,formaldehyde,4,35.9,38_39,body_length,mm,0.575,1.715,model1,2.718282,-4.9416,2.57,1,NA,NA,mg,0.2085,30,0.62,NA,RMS_correction,bird_prairie_1985,2
Cyclops,adult,20,formaldehyde,4,35.9,38_39,body_length,mm,0.95,1.605,model1,2.718282,-5.0969,3.63,1,NA,NA,mg,0.1111,31,0.75,NA,RMS_correction,bird_prairie_1985,2
Mesocyclops,adult,21,formaldehyde,4,35.9,38_39,body_length,mm,0.34,0.93,model1,2.718282,-4.5109,2.57,1,NA,NA,mg,0.0657,34,0.9,NA,RMS_correction,bird_prairie_1985,2
Mesocyclops,adult,22,formaldehyde,4,35.9,38_39,body_length,mm,0.34,0.845,model1,2.718282,-4.8283,2.3,1,NA,NA,mg,0.1203,15,0.81,NA,RMS_correction,bird_prairie_1985,2
Mesocyclops,adult,23,formaldehyde,4,35.9,38_39,body_length,mm,0.355,0.945,model1,2.718282,-4.9889,3.12,1,NA,NA,mg,0.1144,15,0.9,NA,RMS_correction,bird_prairie_1985,2
Thermocyclops,adult,24,formaldehyde,4,35.9,38_39,body_length,mm,0.34,0.93,model1,2.718282,-4.5109,2.57,1,NA,NA,mg,0.0657,34,0.9,NA,RMS_correction,bird_prairie_1985,2
Thermocyclops,adult,25,formaldehyde,4,35.9,38_39,body_length,mm,0.34,0.845,model1,2.718282,-4.8283,2.3,1,NA,NA,mg,0.1203,15,0.81,NA,RMS_correction,bird_prairie_1985,2
Thermocyclops,adult,26,formaldehyde,4,35.9,38_39,body_length,mm,0.355,0.945,model1,2.718282,-4.9889,3.12,1,NA,NA,mg,0.1144,15,0.9,NA,RMS_correction,bird_prairie_1985,2
Klapopteryx kuscheli,nymph,27,formaldehyde,4,NA,NA,body_length,mm,4.5,25,model1,2.718282,-5.16,2.53,1,NA,NA,mg,NA,39,0.94,NA,NA,NA,3
Pictetoperla gayi,nymph,28,formaldehyde,4,NA,NA,body_length,mm,2,20,model1,2.718282,-4.41,2.66,1,NA,NA,mg,NA,23,0.96,NA,NA,NA,3
Kempnyela genualis,nymph,29,formaldehyde,4,NA,NA,body_length,mm,3,19,model1,2.718282,-4.83,2.74,1,NA,NA,mg,NA,17,0.94,NA,NA,NA,3
Notoperla archiplatae,nymph,30,formaldehyde,4,NA,NA,body_length,mm,2,16,model1,2.718282,-5.46,3.15,1,NA,NA,mg,NA,39,0.85,NA,NA,NA,3
Notoperlopsis femina,nymph,31,formaldehyde,4,NA,NA,body_length,mm,3,15,model1,2.718282,-6.29,2.94,1,NA,NA,mg,NA,31,0.86,NA,NA,NA,3
Antarctoperla michaelseni ,nymph,32,formaldehyde,4,NA,NA,body_length,mm,2,9,model1,2.718282,-3.49,1.61,1,NA,NA,mg,NA,22,0.74,NA,NA,NA,3
Aubertoperla illiesi,nymph,33,formaldehyde,4,NA,NA,body_length,mm,2,5.5,model1,2.718282,-5.28,2.78,1,NA,NA,mg,NA,23,0.87,NA,NA,NA,3
Senzilloides panguipulli ,nymph,34,formaldehyde,4,NA,NA,body_length,mm,2,17,model1,2.718282,-4.69,2.7,1,NA,NA,mg,NA,27,0.93,NA,NA,NA,3
Penaphlebia chilensis,nymph,35,formaldehyde,4,NA,NA,body_length,mm,3,7,model1,2.718282,-4.71,2.29,1,NA,NA,mg,NA,13,0.87,NA,NA,NA,3
Meridialaris,nymph,36,formaldehyde,4,NA,NA,body_length,mm,2.5,11,model1,2.718282,-9.95,4.84,1,NA,NA,mg,NA,39,0.87,NA,NA,NA,3
Metamonius,nymph,37,formaldehyde,4,NA,NA,body_length,mm,5,11.5,model1,2.718282,-6.36,3.26,1,NA,NA,mg,NA,41,0.88,NA,NA,NA,3
Chiloporter eatoni,nymph,38,formaldehyde,4,NA,NA,body_length,mm,6,15,model1,2.718282,-4.83,2.67,1,NA,NA,mg,NA,14,0.87,NA,NA,NA,3
Baetis,nymph,39,formaldehyde,4,NA,NA,body_length,mm,2,6,model1,2.718282,-5.25,2.73,1,NA,NA,mg,NA,21,0.84,NA,NA,NA,3
Smicridea,larva,40,formaldehyde,4,NA,NA,body_length,mm,3,16,model1,2.718282,-4.77,2.79,1,NA,NA,mg,NA,44,0.88,NA,NA,NA,3
Neoatopsyche,larva,41,formaldehyde,4,NA,NA,body_length,mm,3,13,model1,2.718282,-5.56,2.51,1,NA,NA,mg,NA,17,0.95,NA,NA,NA,3
Cailloma,larva,42,formaldehyde,4,NA,NA,body_length,mm,3.5,13,model1,2.718282,-4.65,2.47,1,NA,NA,mg,NA,24,0.89,NA,NA,NA,3
Rheochorema,larva,43,formaldehyde,4,NA,NA,body_length,mm,2,7.5,model1,2.718282,-4.7,2.37,1,NA,NA,mg,NA,7,0.99,NA,NA,NA,3
Paratrichocladius,larva,44,formaldehyde,4,10.3,13,body_length,mm,3,7,model1,2.718282,-6.38,3.23,1,NA,NA,mg,NA,17,0.9,NA,NA,NA,3
Lispoides,larva,45,formaldehyde,4,10.3,13,body_length,mm,6.5,13.5,model1,2.718282,-8.03,3.55,1,NA,NA,mg,NA,6,0.88,NA,NA,NA,3
Dasyomma,larva,46,formaldehyde,4,10.3,13,body_length,mm,3,14,model1,2.718282,-4.59,2.04,1,NA,NA,mg,NA,31,0.93,NA,NA,NA,3
Edwardsina,larva,47,formaldehyde,4,10.3,13,body_length,mm,2,15.5,model1,2.718282,-5.01,2.85,1,NA,NA,mg,NA,31,0.98,NA,NA,NA,3
Simulium,larva,48,formaldehyde,4,10.3,13,body_length,mm,2,7,model1,2.718282,-3.79,1.78,1,NA,NA,mg,NA,31,0.81,NA,NA,NA,3
Hexatoma,larva,49,formaldehyde,4,10.3,13,body_length,mm,6.5,23,model1,2.718282,-7.74,3.29,1,NA,NA,mg,NA,18,0.84,NA,NA,NA,3
Aeshna,nymph,50,formaldehyde,4,NA,NA,body_length,mm,3,22,model1,2.718282,-6.04,3.18,1,NA,NA,mg,NA,13,0.91,NA,NA,NA,3
Aegla neuquensis,adult,51,formaldehyde,4,35.9,38_39,body_length,mm,6,22,model1,2.718282,-5.08,3.76,1,NA,NA,mg,NA,5,0.8,NA,NA,NA,3
Hyalella curvispina,adult,52,formaldehyde,4,35.9,38_39,body_length,mm,2,8.5,model1,2.718282,-3.77,2.31,1,NA,NA,mg,NA,33,0.85,NA,NA,NA,3
Lumbriculidae,none,53,formaldehyde,4,31.5,36_37,body_length,mm,11,40,model1,2.718282,-9.19,3.25,1,NA,NA,mg,NA,28,0.74,NA,NA,NA,3
Chilina patagonica,none,54,formaldehyde,4,1,20,shell_height,mm,3,15,model1,2.718282,-2.49,2.75,1,NA,NA,mg,NA,16,0.97,NA,NA,NA,3
Girardia,none,55,formaldehyde,4,NA,NA,body_length,mm,3.5,10,model1,2.718282,-4.01,1.91,1,NA,NA,mg,NA,28,0.86,NA,NA,NA,3
Bithynia tentaculata,none,56,none,NA,NA,NA,shell_height,mm,1.9,10.03,model1,2.718282,-4.76,3.23,1,NA,NA,mg,NA,10,0.96,NA,NA,NA,4
Lymnaea peregra,none,57,none,NA,NA,NA,shell_height,mm,2.48,15.33,model1,2.718282,-4.76,3.19,1,NA,NA,mg,NA,9,0.94,NA,NA,NA,4
Lymnaea ovata,none,58,none,NA,NA,NA,shell_height,mm,2.48,15.33,model1,2.718282,-4.76,3.19,1,NA,NA,mg,NA,9,0.94,NA,NA,NA,4
Dreissena polymorpha,none,59,none,NA,NA,NA,shell_width,mm,3.29,22.1,model1,2.718282,-3.44,2.3,1,NA,NA,mg,NA,163,0.81,NA,NA,NA,4
