page,habitat_id,realm,major_habitat_type,ecoregion
1,101,Nearctic,Polar freshwaters,Alaskan Coastal
1,102,Nearctic,Polar freshwaters,Upper Yukon
1,103,Nearctic,Temperate coastal rivers,Alaska & Canada Pacific Coastal
1,104,Nearctic,Temperate floodplain rivers and wetlands,Upper Mackenzie
1,105,Nearctic,Polar freshwaters,Lower Mackenzie
1,106,Nearctic,Polar freshwaters,Central Arctic Coastal
1,107,Nearctic,Temperate upland rivers,Upper Saskatchewan
1,108,Nearctic,Temperate upland rivers,Middle Saskatchewan
1,109,Nearctic,Large lakes,English - Winnipeg Lakes
1,110,Nearctic,Temperate coastal rivers,Southern Hudson Bay
1,111,Nearctic,Polar freshwaters,Western Hudson Bay
1,112,Nearctic,Polar freshwaters,Canadian Arctic Archipelago
1,113,Nearctic,Temperate coastal rivers,Eastern Hudson Bay - Ungava
1,114,Nearctic,Temperate coastal rivers,Gulf of St.Lawrence Coastal Drainages
1,115,Nearctic,Temperate coastal rivers,Canadian Atlantic Islands
2,116,Nearctic,Large lakes,Laurentian Great Lakes
2,117,Nearctic,Temperate coastal rivers,St.Lawrence
2,118,Nearctic,Temperate coastal rivers,Northeast US & Southeast Canada Atlantic Drainages
2,119,Nearctic,Temperate coastal rivers,Scotia - Fundy
2,120,Nearctic,Temperate upland rivers,Columbia Glaciated
2,121,Nearctic,Temperate floodplain rivers and wetlands,Columbia Unglaciated
2,122,Nearctic,Temperate upland rivers,Upper Snake
2,123,Nearctic,Temperate coastal rivers,Oregon & Northern California Coastal
2,124,Nearctic,Xeric freshwaters and endorheic (closed) basins,Oregon Lakes
2,125,Nearctic,Temperate coastal rivers,Sacramento - San Joaquin
2,126,Nearctic,Xeric freshwaters and endorheic (closed) basins,Lahontan
2,127,Nearctic,Xeric freshwaters and endorheic (closed) basins,Bonneville
2,128,Nearctic,Xeric freshwaters and endorheic (closed) basins,Death Valley
2,129,Nearctic,Xeric freshwaters and endorheic (closed) basins,Vegas - Virgin
2,130,Nearctic,Xeric freshwaters and endorheic (closed) basins,Colorado
3,131,Nearctic,Xeric freshwaters and endorheic (closed) basins,Gila
3,132,Nearctic,Temperate upland rivers,Upper Rio Grande - Bravo
3,133,Nearctic,Xeric freshwaters and endorheic (closed) basins,Pecos
3,134,Nearctic,Xeric freshwaters and endorheic (closed) basins,Rio Conchos
3,135,Nearctic,Temperate floodplain rivers and wetlands,Lower Rio Grande - Bravo
3,136,Nearctic,Xeric freshwaters and endorheic (closed) basins,Cuatro Cienegas
3,137,Nearctic,Xeric freshwaters and endorheic (closed) basins,Rio Salado
3,138,Nearctic,Xeric freshwaters and endorheic (closed) basins,Rio San Juan (Mexico)
3,139,Nearctic,Tropical and subtropical coastal rivers,West Texas Gulf
3,140,Nearctic,Temperate coastal rivers,East Texas Gulf
3,141,Nearctic,Temperate coastal rivers,Sabine - Galveston
3,142,Nearctic,Temperate upland rivers,Upper Missouri
3,143,Nearctic,Temperate floodplain rivers and wetlands,Middle Missouri
3,144,Nearctic,Temperate upland rivers,US Southern Plains
3,145,Nearctic,Temperate upland rivers,Ouachita Highlands
4,146,Nearctic,Temperate upland rivers,Central Prairie
4,147,Nearctic,Temperate upland rivers,Ozark Highlands
4,148,Nearctic,Temperate floodplain rivers and wetlands,Upper Mississippi
4,149,Nearctic,Temperate floodplain rivers and wetlands,Lower Mississippi
4,150,Nearctic,Temperate upland rivers,Teays - Old Ohio
4,151,Nearctic,Temperate upland rivers,Cumberland
4,152,Nearctic,Temperate upland rivers,Tennessee
4,153,Nearctic,Temperate floodplain rivers and wetlands,Mobile Bay
4,154,Nearctic,Temperate coastal rivers,West Florida Gulf
4,155,Nearctic,Temperate floodplain rivers and wetlands,Apalachicola
4,156,Nearctic,Tropical and subtropical coastal rivers,Florida Peninsula
4,157,Nearctic,Temperate coastal rivers,Appalachian Piedmont
4,158,Nearctic,Temperate coastal rivers,Chesapeake Bay
