reference_id,first_author,year,journal,title,location_description,doi_url,notes
1,Towers,1994,New Zealand Journal of Marine and Freshwater Research,Predicting dry weight of New Zealand aquatic macroinvertebrates from linear dimensions,table1,10.1080/00288330.1994.9516604,NA
2,Rahkola,1998,Nordic Journal of Freshwater Research,Individual weight of zooplankton in Lake Ladoga and saimaa Lake system,table1,NA,NA
3,Miserendino,2001,Ecologia Austral,Length-mass relationships for macroinvertebrates in freshwater environments of Patagonia (Argentina),table1,http://www.scielo.org.ar/scielo.php?script=sci_abstract&pid=S1667-782X2001000100002,NA
4,Baumgartner,2003,Internationale Revue der gesamten Hydrobiologie und Hydrographie,Predictive Length–Dry Mass Regressions for Freshwater Invertebrates in a Pre-Alpine Lake Littoral,table1,10.1002/iroh.200310632,NA
5,Stoffels,2003,New Zealand Journal of Marine and Freshwater Research,"Length‐mass models for some common New Zealand littoral‐benthic macroinvertebrates, with a note on within‐taxon variability in parameter values among published models",table1,10.1080/00288330.2003.9517179,NA
6,Miyasaka,2008,Limnology,Relationships between length and weight of freshwater macroinvertebrates in Japan,table2,10.1007/s10201-008-0238-4,NA
7,Telles,2008,NA,"Length-Mass Relationships for Freshwater Macroinvertebrates in the Middle Rio Grande, New Mexico",table1,https://www.researchgate.net/profile/Ayesha-Burdett/publication/267393626_Length-Mass_Relationships_for_Freshwater_Macroinvertebrates_in_the_Middle_Rio_Grande_New_Mexico/links/544e8b260cf2bca5ce90b812/Length-Mass-Relationships-for-Freshwater-Macroinvertebrates-in-the-Middle-Rio-Grande-New-Mexico.pdf,NA
8,Methot,2012,Freshwater Science,Macroinvertebrate size–mass relationships: how specific should they be?,table2,10.1899/11-120.1,NA
9,Atkinson,2020,Freshwater Science,Length-mass equations for freshwater unionid mussel assemblages: Implications for estimating ecosystem function,table1,10.1086/708950,NA
10,Oliphant,2020,Caribbean Journal of Science,"Biomass, Productivity, and Biomass Turnover (P/B) Ratios of Benthic Macroinvertebrates in High Elevation Ponds in St. Ann, Jamaica (West Indies)",appendix1,10.18475/cjos.v50i2.a11,NA
11,Dekanova,2022,Austral Ecology,Length–mass relationships of Australian aquatic invertebrates,table1,10.1111/aec.13077,NA
12,Wilda,1984,Hydrobiologia,"The production of five genera of Chironomidae (Diptera) in Lake Norman, a North Carolina reservoir",table2,https://link.springer.com/article/10.1007/BF00014874,NA
13,Boix,2002,Hydrobiologia,Population dynamics of Triops cancriformis (Crustacea: Branchiopoda: Notostraca) of the Espolla temporary pond in the northeastern Iberian peninsula,table3,https://link.springer.com/article/10.1023/A:1021350802144,NA
14,Tanaka,1970,Japanese Journal of Ecology,"Ecological studies on communities of soil Collembola in Mt. Sobo, Southwest Japan",fig2,https://www.jstage.jst.go.jp/article/seitai/20/3/20_KJ00001775507/_article/-char/ja/,equations recalculated based on data extracted from Tanaka 1970
15,Peterson,1975,Pedobiologia,"Estimation of dry weight, fresh weight and calorific content of various Collembola species",table1,https://www.researchgate.net/profile/Henning-Petersen/publication/284463205_Estimation_of_dry_weight_fresh_weight_and_calorific_content_of_various_Collembolan_species/links/5f2aa0ed92851cd302dc69b8/Estimation-of-dry-weight-fresh-weight-and-calorific-content-of-various-Collembolan-species.pdf,"equations were taken from Caballero et al. (2004, Pedobiologia)"
16,Azevedo,2012,Acta Limnologica Brasiliensia,Length–weight regressions of the microcrustacean species from a tropical floodplain,table3,http://dx.doi.org/10.1590/S2179-975X2012005000021,NA
17,Benke,1999,Journal of the North American Benthological Society,Length-Mass Relationships for Freshwater Macroinvertebrates in North America with Particular Reference to the Southeastern United States,appendix1,https://doi.org/10.2307/1468447,NA
