database,id,group1,group2,db_taxon,db_taxon_gt_order,db_higher_rank_source,db_taxon_higher_rank,db_taxon_higher
equation,1,Insecta,Hemimetabolous,Coloburiscus humeralis,no,NA,NA,NA
equation,2,Insecta,Hemimetabolous,Deleatidium,no,NA,NA,NA
equation,3,Insecta,Hemimetabolous,Nesameletus,no,NA,NA,NA
equation,4,Insecta,Hemimetabolous,Zephlebia,no,NA,NA,NA
equation,5,Insecta,Hemimetabolous,Stenoperla prasina,no,NA,NA,NA
equation,6,Insecta,Hemimetabolous,Austroperla cyrene,no,NA,NA,NA
equation,7,Insecta,Hemimetabolous,Olinga feredayi,no,NA,NA,NA
equation,8,Insecta,Hemimetabolous,Aoteapsyche,no,NA,NA,NA
equation,9,Insecta,Hemimetabolous,Hydrobiosidae,no,NA,NA,NA
equation,10,Insecta,Hemimetabolous,Archichauliodes diversus,no,NA,NA,NA
equation,11,Insecta,Holometabolous,Aphrophila neozelandica,no,NA,NA,NA
equation,12,Insecta,Holometabolous,Chironomidae,no,NA,NA,NA
equation,13,Insecta,Holometabolous,Austrosimulium,no,NA,NA,NA
equation,14,Insecta,Holometabolous,Elmidae,no,NA,NA,NA
equation,15,Mollusca,Gastropoda,Potamopyrgus antipodarum,no,NA,NA,NA
equation,16,Crustacea,Diplostraca,Bosmina longispina,no,NA,NA,NA
equation,17,Crustacea,Diplostraca,Bosmina longispina,no,NA,NA,NA
equation,18,Crustacea,Diplostraca,Limnosida flontosa,no,NA,NA,NA
equation,19,Crustacea,Copepoda,Eurytemora lacustris,no,NA,NA,NA
equation,20,Crustacea,Copepoda,Cyclops,no,NA,NA,NA
equation,21,Crustacea,Copepoda,Mesocyclops,no,NA,NA,NA
equation,22,Crustacea,Copepoda,Mesocyclops,no,NA,NA,NA
equation,23,Crustacea,Copepoda,Mesocyclops,no,NA,NA,NA
equation,24,Crustacea,Copepoda,Thermocyclops,no,NA,NA,NA
equation,25,Crustacea,Copepoda,Thermocyclops,no,NA,NA,NA
equation,26,Crustacea,Copepoda,Thermocyclops,no,NA,NA,NA
equation,27,Insecta,Hemimetabolous,Klapopteryx kuscheli,no,NA,NA,NA
equation,28,Insecta,Hemimetabolous,Pictetoperla gayi,no,NA,NA,NA
equation,29,Insecta,Hemimetabolous,Kempnyela genualis,no,NA,NA,NA
equation,30,Insecta,Hemimetabolous,Notoperla archiplatae,no,NA,NA,NA
equation,31,Insecta,Hemimetabolous,Notoperlopsis femina,no,NA,NA,NA
equation,32,Insecta,Hemimetabolous,Antarctoperla michaelseni ,no,NA,NA,NA
equation,33,Insecta,Hemimetabolous,Aubertoperla illiesi,no,NA,NA,NA
equation,34,Insecta,Hemimetabolous,Senzilloides panguipulli ,no,NA,NA,NA
equation,35,Insecta,Hemimetabolous,Penaphlebia chilensis,no,NA,NA,NA
equation,36,Insecta,Hemimetabolous,Meridialaris,no,NA,NA,NA
equation,37,Insecta,Hemimetabolous,Metamonius,no,NA,NA,NA
equation,38,Insecta,Hemimetabolous,Chiloporter eatoni,no,NA,NA,NA
equation,39,Insecta,Hemimetabolous,Baetis,no,NA,NA,NA
